CLOSED
Version	0.4
Run	717
Instrument	2950 TGA       V5.4A
Module	TGA 1000 øC
Sample	CuSO4*5H2O standard slow
Size	8.07900	mg
Method	
Operator	AE
Comment	CuSO4*5H2O standard at 1C/min for calibration
Xcomment	Pan: Platinum           Gas1: Nitrogen  20          Gas2: Nitrogen  30
Text
Kcell	1.00000
TempCal	2	pts	24.15	22.00,	374.82	354.00
Thresholds	0.050	0.0000
Controls	Gas 1  Event Off  Sampling 2.0 sec/pt
Nsig	3
Sig1	Time (min)
Sig2	Temperature (øC)
Sig3	Weight (mg)
Date	21-May-19
Time	17:52
File	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
OrgFile	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
7.846168 34.34656 8.055590
7.879500 34.37850 8.055493
7.913666 34.41309 8.055497
7.947832 34.44522 8.055502
7.981168 34.47655 8.055347
8.014500 34.51156 8.055151
8.047832 34.54538 8.054878
8.081666 34.57875 8.054666
8.115832 34.61438 8.054444
8.149168 34.64472 8.054385
8.182666 34.68025 8.054308
8.216000 34.71562 8.054275
8.249334 34.74596 8.054226
8.282666 34.78090 8.053912
8.316000 34.81372 8.053588
8.349334 34.84519 8.053332
8.382668 34.88461 8.053207
8.416000 34.91572 8.053171
8.449334 34.94653 8.053184
8.482668 34.98369 8.053094
8.516000 35.01478 8.052856
8.549334 35.04806 8.052460
8.582832 35.08332 8.052168
8.616168 35.11508 8.051988
8.649500 35.15112 8.052009
8.682834 35.18142 8.051990
8.716168 35.21500 8.051750
8.749500 35.25097 8.051709
8.782832 35.28178 8.051602
8.816168 35.31729 8.051281
8.849168 35.34976 8.050934
8.882500 35.37815 8.050707
8.915832 35.41402 8.050538
8.949334 35.45034 8.050556
8.982668 35.47898 8.050495
9.016000 35.51536 8.050460
9.049334 35.55126 8.050476
9.082666 35.58026 8.050156
9.116000 35.61527 8.049566
9.149334 35.65483 8.049255
9.182668 35.68418 8.049066
9.216000 35.71856 8.049020
9.249334 35.75194 8.048991
9.282666 35.78278 8.048892
9.316000 35.81966 8.048681
9.349334 35.85110 8.048440
9.382668 35.88326 8.048168
9.416000 35.91925 8.047912
9.449334 35.94920 8.047750
9.482668 35.98569 8.047652
9.516168 36.01875 8.047556
9.549500 36.04675 8.047462
9.582832 36.08260 8.047360
9.616168 36.11630 8.047112
9.649500 36.14878 8.046788
9.682834 36.18396 8.046558
9.716168 36.21437 8.046482
9.749500 36.25153 8.046408
9.782832 36.28467 8.046304
9.815832 36.31350 8.046230
9.849334 36.34840 8.046113
9.882668 36.38532 8.045852
9.916000 36.41386 8.045509
9.949334 36.44483 8.045350
9.982668 36.48195 8.045224
10.01600 36.51425 8.045230
10.04933 36.54632 8.045242
10.08267 36.58057 8.045061
10.11600 36.61574 8.044778
10.14933 36.64698 8.044544
10.18267 36.68260 8.044242
10.21600 36.71345 8.043993
10.24950 36.75028 8.043862
10.28283 36.78217 8.043835
10.31617 36.81364 8.043847
10.34950 36.85095 8.043768
10.38283 36.88726 8.043606
10.41617 36.91464 8.043306
10.44917 36.94882 8.042962
10.48250 36.98325 8.042690
10.51600 37.01624 8.042621
10.54934 37.04580 8.042575
10.58266 37.08258 8.042566
10.61600 37.11898 8.042501
10.64934 37.14794 8.042282
10.68267 37.18042 8.042054
10.71600 37.21682 8.041747
10.74934 37.24823 8.041503
10.78266 37.28002 8.041350
10.81600 37.31438 8.041220
10.84934 37.34971 8.041111
10.88267 37.38056 8.041205
10.91600 37.41238 8.041081
10.94934 37.44428 8.040845
10.98267 37.48036 8.040601
11.01600 37.51459 8.040274
11.04934 37.54633 8.039922
11.08266 37.58206 8.039732
11.11600 37.61399 8.039716
11.14934 37.64838 8.039692
11.18267 37.68266 8.039560
11.21617 37.71556 8.039360
11.24950 37.74551 8.039088
11.28367 37.78391 8.038635
11.31783 37.81750 8.038328
11.35117 37.84984 8.037985
11.38450 37.88630 8.037804
11.41750 37.91546 8.037728
11.45184 37.94850 8.037502
11.48600 37.98760 8.037094
11.51934 38.01982 8.036750
11.55266 38.05030 8.036571
11.58600 38.08693 8.036294
11.62100 38.12359 8.036249
11.65600 38.15566 8.036106
11.68933 38.18667 8.035834
